Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,Season
2019,Siruguppa,13.7,607.2,29.1,Sandy loam,Canal,1.25,61.7,Cotton,685000.0,Kharif
2013,Vijaypur,11.44,428.1,32.1,Sandy soil,Sprinkler,0.98,50.4,Bajra,145745.6,Kharif
2011,Vijaypur,5.92,676.4,29.8,Black soil,Rainfed,0.85,41.3,Sunflower,176120.0,Zaid
2011,Siruguppa,1.35,605.3,28.9,Black soil,Drip,81.35,41.2,Sugarcane,329467.5,Whole year
2010,Vijaypur,7.55,508.9,35.5,Black soil,Well,0.8,52.3,Redgram,332200.0,Kharif
2015,Sindhanur,9.34,887.6,38.3,Red soil,Well,19.85,47.1,Vegetables,2780985.0,Zaid
2012,Gangavathi,12.88,797.9,34.1,Sandy loam,Well,0.55,43.3,Horsegram,247940.0,Rabi
2023,Vijaypur,13.85,740.5,35.9,Black soil,Borewell,14.37,52.3,Pomegranate,9951225.0,Whole year
2020,Siruguppa,17.59,585.9,29.1,Black soil,Well,1.1,59.6,Groundnut,580470.0,Zaid
2024,Vijaypur,11.01,410.8,28.9,Sandy soil,Sprinkler,15.22,52.9,Pomegranate,8378610.0,Whole year
2020,Vijaypur,15.24,752.5,29.7,Black soil,Borewell,0.97,43.9,Sunflower,517398.0,Zaid
2020,Sindhanur,5.4,689.5,34.4,Alluvial soil,Canal,71.72,57.2,Sugarcane,1161864.0,Whole year
2018,Siruguppa,0.56,600.8,29.7,Sandy loam,Borewell,18.43,38.6,Vegetables,154812.0,Zaid
2019,Sindhanur,3.48,681.6,36.0,Black soil,Canal,1.13,61.1,Cotton,157296.0,Kharif
2013,Gangavathi,16.23,583.0,31.0,Black soil,Canal,75.3,72.5,Sugarcane,3666357.0,Whole year
2018,Siruguppa,15.43,690.7,26.1,Red soil,Rainfed,1.15,54.2,Cotton,709780.0,Kharif
2016,Sindhanur,13.95,962.9,39.0,Alluvial soil,Borewell,3.17,65.7,Corn,619101.0,Zaid
2013,Gangavathi,11.97,579.4,29.2,Black soil,Sprinkler,82.03,54.8,Sugarcane,2945697.3,Whole year
2013,Siruguppa,17.26,783.7,26.9,Red soil,Drip,1.2,64.6,Cotton,828480.0,Kharif
2022,Gangavathi,11.74,732.8,35.5,Black soil,Drip,80.49,60.5,Sugarcane,2834857.8,Whole year
2020,Vijaypur,9.61,441.1,34.6,Sandy soil,Well,1.38,41.2,Bengalgram,596781.0,Rabi
2012,Siruguppa,4.24,781.3,36.2,Sandy loam,Rainfed,0.92,39.3,Bajra,50710.4,Kharif
2010,Vijaypur,16.26,572.2,39.4,Sandy soil,Well,2.89,35.2,Wheat,751862.4,Rabi
2012,Siruguppa,4.67,832.9,27.7,Black soil,Canal,1.43,45.2,Chilli,400686.0,Kharif
2012,Vijaypur,8.75,498.0,38.2,Sandy soil,Sprinkler,0.83,42.9,Greengram,399437.5,Kharif
2019,Sindhanur,15.09,929.1,34.3,Black soil,Canal,16.22,53.9,Vegetables,3671397.0,Zaid
2016,Vijaypur,12.1,744.4,30.4,Sandy soil,Borewell,1.38,36.1,Bengalgram,751410.0,Rabi
2024,Siruguppa,11.88,736.3,32.1,Sandy loam,Borewell,25.45,47.5,Onion,6046920.0,Rabi
2010,Gangavathi,6.35,682.8,31.0,Red soil,Canal,0.61,61.1,Horsegram,135572.5,Rabi
2015,Vijaypur,7.31,564.8,35.4,Black soil,Borewell,1.0,36.2,Bajra,95030.0,Kharif
2010,Gangavathi,19.75,823.6,36.1,Sandy loam,Sprinkler,1.08,54.1,Sunflower,746550.0,Rabi
2013,Gangavathi,3.53,686.4,36.9,Red soil,Sprinkler,1.06,60.6,Bajra,48643.4,Kharif
2023,Gangavathi,1.49,716.8,28.2,Sandy loam,Drip,0.61,67.5,Horsegram,31811.5,Rabi
2021,Gangavathi,3.65,676.2,27.1,Red soil,Sprinkler,3.05,74.0,Paddy,166987.5,Kharif
2016,Vijaypur,11.14,419.9,40.0,Red soil,Borewell,0.92,53.4,Bajra,133234.4,Kharif
2020,Sindhanur,1.28,722.0,38.0,Red soil,Well,3.05,69.7,Maize,54656.0,Kharif
2023,Sindhanur,12.6,877.7,37.6,Black soil,Well,3.05,48.2,Maize,538020.0,Kharif
2014,Sindhanur,18.65,565.9,36.8,Alluvial soil,Well,1.35,51.0,Bengalgram,1132987.5,Rabi
2014,Sindhanur,16.42,903.5,38.4,Red soil,Borewell,2.86,44.5,Maize,657456.8,Kharif
2020,Sindhanur,1.85,823.5,31.3,Red soil,Borewell,3.39,50.3,Paddy,94072.5,Rabi
2011,Vijaypur,19.27,456.1,41.4,Red soil,Well,0.8,32.9,Sunflower,539560.0,Zaid
2010,Vijaypur,18.04,561.0,41.4,Black soil,Rainfed,19.21,39.2,Vegetables,5198226.0,Zaid
2015,Vijaypur,14.97,708.9,34.4,Sandy soil,Borewell,0.88,49.1,Redgram,724548.0,Kharif
2020,Vijaypur,2.93,729.1,36.3,Red soil,Rainfed,1.19,52.4,Groundnut,104601.0,Kharif
2019,Vijaypur,13.47,673.1,35.0,Red soil,Borewell,18.02,43.9,Vegetables,3640941.0,Zaid
2017,Gangavathi,12.33,639.2,28.0,Red soil,Drip,83.5,65.0,Sugarcane,3088665.0,Whole year
2018,Vijaypur,3.81,579.9,40.0,Black soil,Rainfed,24.61,53.7,Onion,1875282.0,Rabi
2019,Gangavathi,0.98,755.2,28.6,Black soil,Drip,1.02,48.5,Jowar,13994.4,Kharif
2012,Siruguppa,7.99,829.5,33.0,Black soil,Well,81.2,57.7,Sugarcane,1946364.0,Whole year
2013,Siruguppa,10.6,673.1,28.2,Red soil,Drip,1.41,60.3,Chilli,896760.0,Kharif
2023,Siruguppa,12.11,831.8,34.8,Black soil,Drip,82.0,67.8,Sugarcane,2979060.0,Whole year
2022,Vijaypur,5.32,641.5,34.5,Sandy soil,Rainfed,18.07,39.3,Grapes,3845296.0,Whole year
2012,Vijaypur,7.05,631.0,37.7,Sandy soil,Well,3.11,40.4,Wheat,350808.0,Rabi
2016,Sindhanur,8.45,840.6,36.0,Alluvial soil,Drip,1.4,44.2,Bengalgram,532350.0,Rabi
2017,Siruguppa,0.88,651.1,34.9,Sandy loam,Rainfed,1.12,63.6,Groundnut,29568.0,Rabi
2022,Siruguppa,8.67,764.0,36.7,Sandy loam,Drip,1.33,58.8,Groundnut,345933.0,Zaid
2023,Sindhanur,13.54,681.0,33.4,Red soil,Well,77.36,48.4,Sugarcane,3142363.2,Whole year
2012,Vijaypur,13.43,600.5,39.3,Black soil,Sprinkler,23.75,48.4,Onion,6379250.0,Rabi
2022,Vijaypur,7.08,478.0,33.8,Red soil,Rainfed,1.4,45.5,Bengalgram,446040.0,Rabi
2022,Vijaypur,19.06,568.3,37.3,Black soil,Well,0.7,34.1,Sunflower,466970.0,Zaid
2019,Siruguppa,2.96,577.4,26.6,Sandy loam,Canal,2.83,42.2,Maize,117275.2,Kharif
2014,Sindhanur,15.08,850.1,28.8,Black soil,Well,73.28,56.3,Sugarcane,3315187.2,Whole year
2019,Siruguppa,18.86,738.4,36.0,Red soil,Canal,1.38,49.0,Jowar,364375.2,Kharif
2015,Sindhanur,2.86,879.6,37.0,Alluvial soil,Canal,1.41,56.6,Cotton,161304.0,Kharif
2015,Vijaypur,16.54,562.9,32.7,Black soil,Sprinkler,1.03,57.8,Sunflower,596267.0,Zaid
2017,Vijaypur,12.51,460.5,32.5,Sandy soil,Sprinkler,0.71,46.4,Safflower,266463.0,Rabi
2019,Vijaypur,17.69,673.1,39.9,Black soil,Sprinkler,17.68,28.3,Vegetables,4691388.0,Zaid
2014,Vijaypur,7.42,575.6,33.2,Red soil,Rainfed,0.86,40.3,Sunflower,223342.0,Zaid
2020,Gangavathi,15.28,580.2,34.7,Sandy loam,Drip,1.22,56.0,Jowar,260982.4,Kharif
2017,Vijaypur,6.47,420.6,30.9,Sandy soil,Rainfed,20.28,49.6,Grapes,5248464.0,Whole year
2015,Gangavathi,5.0,686.4,33.0,Sandy loam,Well,80.64,45.5,Sugarcane,1209600.0,Whole year
2014,Siruguppa,19.54,547.5,31.7,Sandy loam,Drip,1.61,58.5,Bengalgram,1415673.0,Rabi
2010,Siruguppa,10.92,578.5,28.0,Black soil,Canal,1.03,33.9,Sunflower,393666.0,Rabi
2010,Gangavathi,9.83,602.9,26.4,Red soil,Well,0.94,46.5,Sunflower,323407.0,Rabi
2012,Gangavathi,12.77,843.9,31.8,Black soil,Well,85.04,44.1,Sugarcane,3257882.4,Whole year
2016,Gangavathi,15.92,580.3,36.5,Black soil,Sprinkler,1.02,60.0,Jowar,227337.6,Kharif
2022,Vijaypur,12.61,703.4,41.8,Sandy soil,Well,14.98,37.4,Pomegranate,9444890.0,Whole year
2017,Sindhanur,1.96,810.1,28.9,Black soil,Drip,1.35,48.5,Bengalgram,119070.0,Rabi
2024,Vijaypur,9.35,497.3,38.1,Sandy soil,Borewell,0.98,51.2,Sunflower,320705.0,Zaid
2010,Gangavathi,5.68,584.0,29.1,Black soil,Canal,1.07,44.1,Sunflower,212716.0,Rabi
2017,Sindhanur,8.35,737.6,32.5,Red soil,Drip,3.02,55.4,Corn,353038.0,Zaid
2019,Siruguppa,4.96,769.5,34.1,Sandy loam,Drip,0.9,38.2,Bajra,58032.0,Kharif
2019,Siruguppa,13.2,528.7,35.1,Black soil,Well,18.79,46.4,Vegetables,3720420.0,Zaid
2016,Vijaypur,2.54,551.0,34.0,Black soil,Rainfed,20.11,39.2,Grapes,2043176.0,Whole year
2022,Vijaypur,6.63,678.3,35.4,Red soil,Well,16.96,42.0,Vegetables,1686672.0,Zaid
2020,Vijaypur,10.61,709.2,34.2,Sandy soil,Sprinkler,1.12,30.1,Groundnut,356496.0,Kharif
2010,Vijaypur,17.68,498.1,28.7,Red soil,Well,1.15,34.4,Jowar,284648.0,Kharif
2011,Sindhanur,19.85,766.1,34.4,Black soil,Drip,1.23,47.2,Bengalgram,1098697.5,Rabi
2018,Sindhanur,19.61,750.4,30.5,Black soil,Drip,84.8,62.0,Sugarcane,4988784.0,Whole year
2015,Sindhanur,17.35,913.0,33.8,Red soil,Drip,79.9,63.9,Sugarcane,4158795.0,Whole year
2018,Gangavathi,13.37,834.8,36.8,Black soil,Drip,0.95,58.6,Tur,635075.0,Kharif
2019,Vijaypur,6.77,585.1,35.2,Black soil,Borewell,18.87,43.7,Vegetables,1916248.5,Zaid
2017,Vijaypur,16.32,399.8,37.7,Red soil,Borewell,0.81,52.7,Safflower,396576.0,Rabi
2024,Siruguppa,16.98,905.3,31.5,Red soil,Drip,27.54,35.7,Onion,9352584.0,Rabi
2019,Vijaypur,1.96,454.1,40.9,Red soil,Rainfed,1.29,56.7,Groundnut,75852.0,Kharif
2023,Vijaypur,19.11,503.0,35.3,Sandy soil,Sprinkler,0.92,44.4,Sunflower,615342.0,Kharif
2022,Siruguppa,15.06,755.5,37.3,Black soil,Canal,2.84,70.6,Maize,598785.6,Kharif
2015,Siruguppa,16.02,766.1,36.2,Black soil,Borewell,85.32,37.9,Sugarcane,4100479.2,Whole year
2019,Vijaypur,3.81,622.5,36.2,Black soil,Sprinkler,0.97,52.4,Jowar,51739.8,Rabi
2020,Sindhanur,13.5,670.0,35.2,Red soil,Borewell,70.41,57.5,Sugarcane,2851605.0,Whole year
2017,Sindhanur,19.26,916.1,39.8,Alluvial soil,Borewell,2.67,49.1,Maize,719938.8,Kharif
2010,Gangavathi,7.5,861.1,26.6,Red soil,Borewell,0.95,51.0,Sunflower,249375.0,Rabi
2023,Vijaypur,1.46,608.4,37.4,Sandy soil,Sprinkler,0.91,49.0,Sunflower,46501.0,Zaid
2020,Gangavathi,15.23,652.2,28.7,Sandy loam,Well,0.45,45.3,Horsegram,239872.5,Rabi
2021,Siruguppa,3.06,817.8,27.2,Black soil,Borewell,1.36,46.1,Jowar,58262.4,Kharif
2014,Vijaypur,10.85,481.4,34.8,Red soil,Borewell,1.31,62.1,Jowar,198989.0,Rabi
2023,Vijaypur,15.21,708.9,33.4,Black soil,Sprinkler,18.81,34.3,Vegetables,4291501.5,Zaid
2019,Gangavathi,13.62,519.7,32.1,Sandy loam,Borewell,1.11,47.5,Sunflower,529137.0,Kharif
2020,Vijaypur,18.89,650.5,35.2,Red soil,Borewell,0.87,48.8,Sunflower,575200.5,Zaid
